Chapter	quantity	symbol	typical unit	typical unit symbol	remarks	dimension	priority	definition
1	mass	m	gram	g	extensive	mass (basic)	1	
1	volume	V	milliliter	mL	extensive	length ^ 3	1	
1	length	s	meter	m		length (basic)	3	
1	density	ρ	gram per milliliter	g/mL		mass / volume	2	
1	temperature	T	kelvin	K		temperature (basic)	1	
1	time	t	seconds	s		time (basic)	1	
2	particle number	N	unitless			dimensionless	2	
3	chemical amount	n	mol	mol	extensive	chemical amount (basic)	1	m_sample / V_sample
3	concentration	c	molar = mol per liter	M = mol/L		chemical amount / volume	1	n_solute / V_solution
3	molar mass	M	gram per mol	g/mol		mass / chemical amount	1	m_sample / n_sample
4	stoichiometric coefficient	ν	unitless			dimensionless	1	
5	heat	q	joule	J	extensive	energy = mass * length / time^2	3	
5	molar enthalpy	H	joule per mole	J/mol		energy / chemical amount	3	
5	specific heat capacity	c_p	unitless			energy / (mass temperature)	4	q / (m_sample ΔT)
5	heat capacity	C	joule per kelvin	J/K		energy / temperature	5	q / ΔT
6	frequency	ν	hertz	Hz = 1/s		1 / time	3	
6	wavelength	λ	nanometer	nm		length	3	
9	force	F	newton	N = kg m/s^2		mass / time^2	4	
9	pressure	P	atmospheres	atm		force / length^2 = energy / volume	1	
12	reaction rate	r	molar per second	M / s		chemical amount / (volume time)	3	Δc / Δt
12	first order rate constant	k	per second	1 /s		1/ time	3	
12	second order rate constant	k	per molar second	1 / (M s)		volume / (time * chemical amount)	3	
12	zero order rate constant	k	molar per second	M / s		chemical amount / (volume * time)	3	
12	half life	t_½	second	1 / s		time	3	
13	reaction quotient	Q	unitless			dimensionless	2	
13	equilibrium constant	K	unitless			dimensionless	1	
13	pH	pH	unitless			dimensionless	1	-log([H+])
16	molar entropy	S	joule per mole kelvin	J / (mol K)		energy / (temperature * chemical amount)	2	
16	molar Gibbs energy	G	kilojoule per mole	J / mol		energy / chemical amount	2	
16	entropy	S	joule per kelvin	J / K	extensive	energy / temperature	3	
16	Gibbs energy	G	kilojoule	kJ	extensive	energy	3	
16	work	w	joule	J	extensive	energy	3	
17	electrical potential (or voltage)	E	volt	V = kg m^2 / (A s^3)		energy / (time * current)	2	
17	electrical current	I	ampere	A		current (basic)	3	
17	electrical charge	Q	coulomb	C = A s	extensive	time * current	3	
	power	P	watt	W = J / s		energy / time		
